# Critical Strike Table 4.9 — Subdual
# Transcribed from author-supplied PDF (X:\RMFRPSuite\subdual_crit.pdf).
#
@name:           Subdual
@table_number:   4.9
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Your concern for damaging foe hinders you. | +0H
67-70 | E | Your attack lands unexpectedly on foe's shoulder. It is fractured. Foe drops his guard in response to the pain. | +9H – 2∑∏ – (-30)
71-75 | A | Side strike damages a muscle. Foe is disabled for the moment. | +4H – 2∑
71-75 | B | You try to kick foe off his feet. The strike lands on foe's calf. Deep bruise. | +5H – ∑ – (-30)
71-75 | C | You assault foe's foot. He is unable to stand on it. | +5H – ∑∏ – (-20)
71-75 | D | Leg strike causes foe to fall and fracture his leg. | +10H – ∑∏ – (-55)
71-75 | E | Strike to foe's thigh causes him to fall. Blow creates a terrible bruise. | +9H – 3∑∏ – (-40)
76-80 | A | Blow to foe's shield arm. If foe has a shield, it should check for breakage. | +8H – 2(-20) | with shield
76-80 | A | Blow to foe's shield arm. If foe has a shield, it should check for breakage. | +4H – 2∑∏ | without shield
76-80 | B | Heavy handed attack. It looks like you're going for a kill. Foe avoids the worst. Blow to foe's shield arm. | +6H – 2∑∏ – 7(-10)
76-80 | C | Strike to foe's arm causes him to fall with a fracture. You punch at his head for added effect. | +6H – 3∑ – 6(-30)
76-80 | D | Strong blow to foe's weapon arm disarms him and causes him to fall. He lands hard and breaks a rib. | +7H – 3∑ – (-25)
76-80 | E | Fierce blow to foe's weapon arm disarms him and sends him sprawling. You have his weapon. | +10H – 4∑∏
81-85 | A | Strong grip and a shot to the side make for an effective combination. Foe is disabled for an instant. | +5H – ∑∏ – (+10)
81-85 | B | Side strike knocks foe down. He pulls you over with him. You fail to pummel him into submission. You have a great position. | +6H – 3∑ – (+10)
81-85 | C | Strong blow to foe's side. Foe drops his weapon to react to the pain. You move to block him from its recovery. Foe gives ground with little concern. | +6H – 6∑
81-85 | D | Strike to foe's side sends him to the ground. While falling, he fractures his ankle. Foe goes unconscious from the pain. | +7H – 2∑∏ – (-50)
81-85 | E | Side strike knocks foe down. You hit him in the face as he falls. In the fall, he breaks his leg. | +10H – 6∑∏ – (-50)
86-90 | A | Your attack is part grapple and sweep. You push foe off balance. | +6H – 3∑∏
86-90 | B | Hard strike to the back of foe's neck terminates foe's conscious thoughts. He drops. Foe's shoulder blade is bruised. | +8H – (-30)
86-90 | C | Strong blow to foe's back knocks him off his feet. Foe lands hard and is knocked out by the impact. You have him now. | +10H – 6∑ – (+20)
86-90 | D | Blow to foe's back knocks him to the ground. His weapon slides across the floor. He hits very hard. Foe goes unconscious for 5 rounds. | +12H – (-10)
86-90 | E | Nasty blow to face. Foe is knocked down. Foe's lips curl up in a ball and froth comes out of his mouth. You are frightened. Foe goes unconscious. | +15H – ∫ – (-30)
91-95 | A | Strike lands solid upon foe's neck. His neck is sprained. He falls down and has difficulty getting up. | +7H – 2∑∏ – (-20)
91-95 | B | Your knuckles go into foe's temples and cause a painful overload to foe's brain. He falls gripping his head for 2 rounds and passes out. | +10H – 6∑ – (-30)
91-95 | C | Overwhelming blow knocks foe down. He fumbles his weapon and hits hard trying to recover it. Foe goes unconscious on impact. | —
91-95 | D | Grip foe's arm and hold it, while striking him in the face until he goes unconscious. Foe is unconscious for 15 rounds. | +15H – (-20)
91-95 | E | Strike to shoulder breaks the collar bone. Foe knocks himself out with a graceless fall. You strike his head to make sure. | +17H
96-99 | A | Solid strike turns foe's head and it pinches a nerve in his neck. Foe falls over and goes unconscious. | +8H – (-30)
96-99 | B | Fracture foe's skull with a lucky strike. Foe falls unconscious. The swelling will kill him in 2 hours. | +12H – 2∑∏ – (-50)
96-99 | C | Blow lands on foe's forehead. His head snaps back and he loses consciousness. He then drops hard on the ground and hits his head. | +10H – 5∫ – (-40)
96-99 | D | Strong blow to the abdomen causes foe to fall to the ground. He hits his head. Foe goes into a coma for 1 month. | +17H
96-99 | E | Your haste to get the advantage makes your attack deadly. You snap foe's neck. Foe falls and dies in 15 rounds. | +25H
100 | A | You pop foe on his head in what looks like a playful strike. He pauses 1 round, then passes out. | +5H
100 | B | Strong blow to foe's back knocks him down and paralyzes him. Serious nerve damage. Foe is unconscious. | +15H – (-60)
100 | C | Severe chest strike. Foe falls, breaking his arm and hitting his head. He goes into a coma for 2 weeks. | +20H
100 | D | Pummel foe's head. He falls unconscious in a nice spot on the ground. | +25H
100 | E | Textbook subdual. You strike foe on his head. He settles to the ground in a silent move. He is unconscious for 10 hours. | (+20)
