# Critical Strike Table 4.5 — Martial Arts Strikes
# Transcribed from author-supplied PDF (X:\RMFRPSuite\martialartsstrikes_crit.pdf).
#
@name:           Martial Arts Strikes
@table_number:   4.5
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Strike loses its power. | +0H
36-45 | B | Chest strike. Foe makes a strange noise on impact. He blocks and recovers. | +7H – (π-20)
36-45 | C | Clever feint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest. | +8H – ∑
36-45 | D | Chest strike. Foe falls forward onto one knee in front of you. His guard is down for a moment. | +5H – ∑∏
36-45 | E | Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry. | ∑
46-50 | A | Foe is confused by your attack. He steps back to parry your next strike. | +6H – (π-25)
46-50 | B | Glancing kick to foe's back. The effects are reasonable for your modest effort. | +5H – ∑
46-50 | C | Step to the side and catch foe in his back. He stumbles forward. His guard is down. | ∑∏
46-50 | D | Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you. | +3H – 2∑ – (-10)
46-50 | E | Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable. | +5H – 2∑ – ∏
51-55 | A | Strike bends foe's hip in an odd direction. He is unbalanced. | +3H – ∑
51-55 | B | Side strike sends foe stumbling to the left 5 feet. He recovers to face you. | +6H – ∑
51-55 | C | With a circular block and a focused central strike you break foe's defenses. | ∑∏ – (+20)
51-55 | D | Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down. | +6H – (-25)
51-55 | E | Hip strike spins foe. He is suspicious of gravity and struggles to stay standing. | +5H – 3∑
56-60 | A | Fist to chest. A solid punch. Foe is rattled a little. | +5H – ∑
56-60 | B | Boom! Good shot to foe's stomach. He almost loses his lunch. | +3H – 2∑
56-60 | C | Strong wheel kick sends foe 10 feet in any desired direction. | +8H – 2∑
56-60 | D | Back strike. Foe attempts to flee and then changes his mind. | +4H – 3∑
56-60 | E | Shoulder strike. Foe is badly unbalanced and unable to defend himself. | 2∑ – ∏ – (-10)
61-65 | A | Blow on top of foe's foot is slightly misplaced, but quick. Bruise toe and mash toe nails. | +5H – 5(-20)
61-65 | B | Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage. | +7H – 2∑
61-65 | C | Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg. | +5H – (-25)
61-65 | D | Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb. | 2∑ – 6(-25)
61-65 | E | Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook. | +3H
66 | A | Strike Achilles tendon. Foe almost falls. He recovers his balance, but the pain is strong. | +7H – 2∑ – (-50)
66 | B | Strike foe in his forehead. The shock sprains neck and fractures foe's jaw. He cannot seem to close his jaw. | +4H – 9∑ – (-50)
66 | C | Knife hand strike breaks foe's weapon arm, leaving it useless. Follow-up punch to solar plexus knocks foe out. | —
66 | D | Grip foe's weapon arm. Dislocate the arm and then break it. Use your advantage to pull foe over and kick him in the face. Foe is knocked out. | (+20)
66 | E | Simultaneous palm strike to both of foe's ears. Destroy foe's hearing and balance. | 24∑ – (-95)
67-70 | A | Weak spearhand to foe's side. It yields an excellent effect. | +2H – 2∑
67-70 | B | Spear hand strike to chest. Elbow shot to foe's side causes some confusion. | +3H – 3∑
67-70 | C | Strong knife hand to upper portion of foe's shield arm. Arm is broken. | —
67-70 | D | Press your attack under the bottom of foe's ribcage. Knock the wind out of foe. | 2∑∏
67-70 | E | Elbow to solar plexus and back of fist to foe's face. Foe drops. | +5H – 3∑ – 2∏
71-75 | A | Knife hand, spear hand combination. Foe must roll a weapon fumble. | ∑
71-75 | B | Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon. | +6H – 2∑ – (-20)
71-75 | C | Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself. | 2∑∏
71-75 | D | Firm flat palm strike to foe's collarbone. Bone is broken. Foe's guard is down. It hurts him to raise his arm. | 2∑∏ – (-25)
71-75 | E | Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response. | +5H – 3∑ – (-50)
76-80 | A | Blow to foe's shield arm. If foe has a shield, it is broken. If foe has no shield, his arm is broken. | +6H – ∑
76-80 | B | You find an opening and strike the back of foe's knee. The impact damages tendons and unbalances foe. | 2∑ – (-25)
76-80 | C | You turn a block into a strike to foe's weapon arm. Foe is disarmed. Strike damages cartilage. | ∑ – (-10)
76-80 | D | Strike and grip area behind foe's knee. Tendon and cartilage damage insures your success. | (-75)
76-80 | E | Front kick to midsection doubles foe over. You follow with a knee strike which breaks foe's nose and knocks foe out. | —
81-85 | A | Kick to foe's weapon arm. Foe is disarmed. Your strike does little else. | +3H
81-85 | B | Kick foe's weapon arm and send weapon flying 5 feet away. You break 2 of foe's weapons. | +3H – 2∑ – (-20)
81-85 | C | Heel kick breaks bone in foe's foot. Foe has trouble standing. His foot looks bad. | 2∑∏ – (-50)
81-85 | D | Kick to foe's leg is clean and mean. Leg is broken above the knee. Foe falls over slowly. | +5H – 5∑∏ – (-75)
81-85 | E | Powerful strike shatters knee and then disjoints it. Foe drops. Oh that hurts! | +15H – 12∑∏ – (-80)
86-90 | A | Fluid move followed by a leaping kick to foe's back knocks foe down. He is shaken and tries to stand. | 3∑
86-90 | B | Wheel kick knocks foe flat. Smash tendons and tear muscle. You spin clear with too much energy. | 9∑ – (-30)
86-90 | C | Clean strike to lower leg rips Achilles tendon and drops foe. | +10H – 9∑ – (-80)
86-90 | D | Open-handed blow to foe's adam's apple crushes foe's windpipe. Foe dies in 18 rounds of shock and asphyxiation. | —
86-90 | E | Round house kick to kidneys drops foe to his knees. You grip foe's neck and snap it very effectively. Foe dies in 9 rounds. | —
91-95 | A | Strike to nerve in foe's leg. Foe's leg buckles. He does not fall, he crouches down in pain. | +8H – 2∑∏ – 6(-40)
91-95 | B | Strike to foe's knee shatters joint. Foe drops down hard. He grips his knee and spits out an oath. | 4∑∏ – (-85)
91-95 | C | Flying kick to foe's back. You knock foe down, disarm him, and leave him in trouble. | 12∑∏
91-95 | D | Jab to foe's eyes blinds him. Crescent kick sends foe 10 feet in the direction you select. | 10∑ – (-100)
91-95 | E | Strike to abdomen ruptures spleen. Foe spits out blood instantly. He drops and dies in 12 rounds. | (+10)
96-99 | A | You block foe's attack. You then follow-up with a side strike that knocks foe down. Foe hits hard and loses his direction. | 3∑∏
96-99 | B | Roundhouse kick knocks foe out and fractures collarbone. Neck is sprained and shoulder muscles are bruised. | 20∑∏ – 20(-100)
96-99 | C | Kick to foe's solar plexus. He stumbles back 10 feet. He falls very hard. | +30H – 30∑∏
96-99 | D | Round house kick catches foe in back of head. You slam foe's head into the ground. Severe concussion. Foe dies of hemorrhage in 9 rounds. | —
96-99 | E | Double palmstrike to foe's nose breaks cartilage and drives bone into brain. The effects are rapid. Foe dies after 6 rounds prone and immobile. | —
100 | A | Gooseneck strike. Foe's inner ear ruptured. Foe stands there while your follow-up strike knocks him down and out! | (-75)
100 | B | Knife hand strike to foe's weapon arm breaks bone. Kick to lower back breaks foe's backbone, leaving foe paralyzed from the waist down. | +5H
100 | C | Sweep lays foe out and heel strike to foe's sternum collapses the ribcage. Foe is helpless and dies in 4 rounds. | —
100 | D | Gooosh! Awesome spear hand strike finds seam, penetrates solar plexus and ruptures the heart. Foe dies instantly. | —
100 | E | Disarm foe and use his weapon to kill him. A follow-up strike breaks his neck and you send him 5 feet in any direction. He is dead twice. | —
