# Critical Strike Table 4.12 — Unbalancing
# Transcribed from author-supplied PDF (X:\RMFRPSuite\unbalance_crit.pdf).
#
@name:           Unbalancing
@table_number:   4.12
@crit_type_code: U
@notes:
@column_axis:    severity
#
01-05 | A | You and your foe both stumble. | +0H
66 | A | Shoulder strike sends foe spinning. He comes all the way around before stopping. Well placed shot. | +7H – 2∑∏
66 | B | Strike to foe's elbow numbs it. He drops his weapon and grips his elbow. He forgets you are still attacking him. | +8H – 2∑∏
66 | C | Strike to foe's leg sends him down. Foe's knee is broken and his doom is at hand. He falls to the ground helpless. | +9H – 3∑∏ – (-90)
66 | D | Hard strike to head. If foe has no helm, he is knocked out for 24 hours. If he has a helm, he is knocked back 10 feet. | 6∑
66 | E | Knock foe back with a blow to the jaw. Foe loses balance and falls. He hits his head and goes unconscious. | +30H
67-70 | A | Hasty press upon foe's chest produces excellent results. Foe is unbalanced. | +6H – 2(-50)
67-70 | B | Grab loose piece of foe's garments and use it to throw him around. Foe is confused. | +7H – ∏
67-70 | C | Strike to foe's ribs. Foe's ribs crack and foe shows the pain. His war effort is impaired. | +8H – 2∑ – (-20)
67-70 | D | Break foe's collar bone. Spin foe around. He is disoriented and out of position. | +10H – ∑∏ – (-25)
67-70 | E | Shoulder strike blasts foe down. He lands on his stomach and tries to roll over. Minor fracture. | 2∑∏ – (-10)
71-75 | A | Hammer foe's lower leg. He has trouble standing, but manages. | +7H – 2∑
71-75 | B | Solid damage to foe's calf. His attempts to avoid the pain make him an easier target. | +9H – (-10)
71-75 | C | Bruise foe's leg. Muscles suffer damage and foe limps back from your reach. | +10H – ∑∏ – (-20)
71-75 | D | Lift foe up into the air. You send him sprawling on the ground. He drops his weapon. | +12H – ∑∏ – (-75)
71-75 | E | Knock foe down with a blow to the thigh. He lands on his weapon and takes some time to get off it. | +15H – 3∑∏
76-80 | A | Blow to foe's shield side. If foe has a shield, it is torn away. | +12H – 2∑
76-80 | B | Grab foe's shield arm for leverage. You treat it badly, trying to unbalance foe. | +10H – 2∑ – (-10)
76-80 | C | Heavy blow to foe's weapon arm. Mild fracture. Foe is knocked back 5 feet. | +11H – 3∑ – (-25)
76-80 | D | Sweep foe to the side and knock him over. He breaks his ankle. | +11H – (-50)
76-80 | E | Strike to foe's shield arm. Foe stumbles 3 feet and falls down. Foe is disarmed. | +15H – 4∑∏
81-85 | A | Side strike. Disoriented foe strikes out for you in the wrong direction. You move to take advantage. | +12H – ∑∏ – (+10)
81-85 | B | Good shot to foe's side sends him stumbling to the right 3 feet. It must have really hurt. | +15H – 3∑
81-85 | C | Strike to foe's side. He almost goes down, but recovers by dropping everything in his shield arm. | 6∑
81-85 | D | Brutal strike sends foe down. You step on his weapon arm and hold it down. Foe should surrender. | +12H – 6∑∏
81-85 | E | Awesome side shot sends foe tripping sideways. He goes down rolling and breaks a leg. | 6∑∏ – (-50)
86-90 | A | Elbow to the back. Foe stumbles 5 feet sideways. Foe cannot seem to get his head clear. | +13H – 3∑ – (+20)
86-90 | B | You really hammer foe. He reels back 10 feet. He almost went down. You move in to finish him. | +12H – 2∑∏
86-90 | C | Precise blow sends foe down. Foe is face down and disarmed. | +14H – 6∑ – (+20)
86-90 | D | Strike foe's shield arm. If foe has a shield it is broken. If not the arm is broken. | +10H – 9∑
86-90 | E | Cruel blow to foe's head. Foe sees stars. Foe is knocked back 10 feet, but remains standing. | +20H – 12∑∏
91-95 | A | Head strike. If foe has no helm, he is knocked out for 2 hours. If foe has a helm, he is better off. | 3∑
91-95 | B | Blow to side of foe's head. Strike damages his ear and balance. Foe is impaired for 3 weeks. | +9H – 6∑ – (-50)
91-95 | C | Spin foe around. He ends up 10 feet from you and facing the wrong direction. Foe fumbles his weapon. | —
91-95 | D | Foe stumbles back from you 10 feet and takes a full round to fall. He hits hard and fractures an arm. He is down. | +10H – 8∑∏ – (-30)
91-95 | E | Blow to foe's shield shoulder. If foe has no shield, he is knocked down, has a useless arm, and passes out. | 6∑
96-99 | A | Strike to foe's stomach. He bends down in pain and you send him sprawling on his face. He hits harder than you could have hoped. | +10H – 3∏
96-99 | B | Bash foe in his side. His legs forget to follow as he steps back. He falls in an embarrassing prone position. He has no clue to what happened. | 6∑∏
96-99 | C | Smooth and snazzy strike sends foe down on his knees. His weapon goes flying. Foe has blacked out. He stares straight ahead without blinking. | —
96-99 | D | Strike head and shatter foe's helm. Pieces fly in all directions. If foe has no helm he is in a coma for 4 weeks. | +9H – 6∑
96-99 | E | Solid strike snaps foe's neck. He falls back 5 feet, spins, and tumbles to the ground. He dies of shock and suffocation in 3 rounds. | —
100 | A | Brutal hip strike knocks foe down. Fall tears tendons, and fractures bone in leg. The pain is great. Foe is incoherent for 9 hours. | (-90)
100 | B | Send foe flying 10 feet. He lands on his face. The twisting of his neck causes nerve damage. He is paralyzed from the waist down. | —
100 | C | Powerful strike flips foe into the air before smashing him to the ground. Foe breaks both arms and hits his head. Foe is in a coma for 2 months. | —
100 | D | Savage blow to foe's head. Foe is knocked down. He falls into a coma and dies in 12 rounds due to a severed vein. | (+20)
100 | E | Frightening strike to foe's head. Temple crushed, neck broken. Foe lands 20 feet away. He dies instantly. | 3(+20)
