# Critical Strike Table 6.5-LN — Large (Normal Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Normal Spell)
@table_number:   6.5-LN
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'LMN'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Solid strike to foe's head hurts him, but he is still coming. If foe has head gear it is knocked off. | +20H
71-80 | C | Solid strike to foe's head hurts him, but he is still coming. If foe has head gear it is knocked off. | +20H
71-80 | D | Solid strike to foe's head hurts him, but he is still coming. If foe has head gear it is knocked off. | +20H
71-80 | E | Solid strike to foe's head hurts him, but he is still coming. If foe has head gear it is knocked off. | +20H
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | Strong blast staggers your terrible foe. He is as surprised as you are at this success. He loses 6 rounds of initiative. | +15H - 3[Stun]
81-90 | C | Strong blast staggers your terrible foe. He is as surprised as you are at this success. He loses 6 rounds of initiative. | +15H - 3[Stun]
81-90 | D | Strong blast staggers your terrible foe. He is as surprised as you are at this success. He loses 6 rounds of initiative. | +15H - 3[Stun]
81-90 | E | Strong blast staggers your terrible foe. He is as surprised as you are at this success. He loses 6 rounds of initiative. | +15H - 3[Stun]
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | Hard and effective, your strike almost brings foe down. He stumbles, but does not fall. | +20H - 2[Stun No Parry]
91-95 | C | Hard and effective, your strike almost brings foe down. He stumbles, but does not fall. | +20H - 2[Stun No Parry]
91-95 | D | Hard and effective, your strike almost brings foe down. He stumbles, but does not fall. | +20H - 2[Stun No Parry]
91-95 | E | Hard and effective, your strike almost brings foe down. He stumbles, but does not fall. | +20H - 2[Stun No Parry]
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | Strike lands and tears down into foe's neck. This vicious blast crushes foe's neck and shatters his spine. He falls unmoving and dies in 3 rounds. | 
96-98 | C | Strike lands and tears down into foe's neck. This vicious blast crushes foe's neck and shatters his spine. He falls unmoving and dies in 3 rounds. | 
96-98 | D | Strike lands and tears down into foe's neck. This vicious blast crushes foe's neck and shatters his spine. He falls unmoving and dies in 3 rounds. | 
96-98 | E | Strike lands and tears down into foe's neck. This vicious blast crushes foe's neck and shatters his spine. He falls unmoving and dies in 3 rounds. | 
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | You step into the right spot and rip open foe's side. Your blow shatters some ribs. Foe dies in 6 painful rounds. | 
99-100 | C | You step into the right spot and rip open foe's side. Your blow shatters some ribs. Foe dies in 6 painful rounds. | 
99-100 | D | You step into the right spot and rip open foe's side. Your blow shatters some ribs. Foe dies in 6 painful rounds. | 
99-100 | E | You step into the right spot and rip open foe's side. Your blow shatters some ribs. Foe dies in 6 painful rounds. | 
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +30H - 3[Stun No Parry]
101-150 | C | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +30H - 3[Stun No Parry]
101-150 | D | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +30H - 3[Stun No Parry]
101-150 | E | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +30H - 3[Stun No Parry]
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Your weapon wounds deep and cuts muscles and tendons. | 5[Stun No Parry] - (-20)
151-175 | C | Your weapon wounds deep and cuts muscles and tendons. | 5[Stun No Parry] - (-20)
151-175 | D | Your weapon wounds deep and cuts muscles and tendons. | 5[Stun No Parry] - (-20)
151-175 | E | Your weapon wounds deep and cuts muscles and tendons. | 5[Stun No Parry] - (-20)
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +35H - (-35) - 10[Bleeding]
176-200 | C | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +35H - (-35) - 10[Bleeding]
176-200 | D | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +35H - (-35) - 10[Bleeding]
176-200 | E | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +35H - (-35) - 10[Bleeding]
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | When your strike lands on foe's back, bones crackle and pop. Foe is paralyzed and in a 3 month coma +50H | 
201-250 | C | When your strike lands on foe's back, bones crackle and pop. Foe is paralyzed and in a 3 month coma +50H | 
201-250 | D | When your strike lands on foe's back, bones crackle and pop. Foe is paralyzed and in a 3 month coma +50H | 
201-250 | E | When your strike lands on foe's back, bones crackle and pop. Foe is paralyzed and in a 3 month coma +50H | 
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | Foe lowers his eyes within your reach and you strike with great skill and fury. Foe dies instantly. | +20H
251-999 | C | Foe lowers his eyes within your reach and you strike with great skill and fury. Foe dies instantly. | +20H
251-999 | D | Foe lowers his eyes within your reach and you strike with great skill and fury. Foe dies instantly. | +20H
251-999 | E | Foe lowers his eyes within your reach and you strike with great skill and fury. Foe dies instantly. | +20H
